UDP_ID,SKU_ID,Sum of Sales,ProductName,Manu,IS PL?,Current Sales Rank,Suggested UDP Rank,July- Pageviews,Aug- Pageviews,Comments
296,608738,18576.14286,1mg Sanitizing Wipes (70 Each) Buy 3 Get 1 Free,Tata 1mg Healthcare Solutions Private Limited,1,21,4,11136,5943,
5,503411,1735788.537,Tata 1mg Salmon Omega 3 Fish Oil Capsule,Tata 1mg Healthcare Solutions Private Limited,1,1,1,10528,9421,
5,555721,1051290.311,"Tata 1mg Women's Multivitamin, Zinc, Vitamin C, Calcium, Vitamin D, and Iron  Immunity Booster Tablet",Tata 1mg Healthcare Solutions Private Limited,1,4,2,10528,9421,
5,536094,950151.1695,"Tata 1mg Calcium + Vitamin D3, Zinc, Magnesium and Alfalfa Tablets for Joint Health & Immunity",Tata 1mg Healthcare Solutions Private Limited,1,5,4,10528,9421,
1285,551156,602624.4237,Tata 1mg Biotin + Tablet,Tata 1mg Healthcare Solutions Private Limited,1,1,1,10052,517,
1285,723019,551345.6667,Tata 1mg Blood Pressure Monitor Fully Automatic,Tata 1mg Healthcare Solutions Private Limited,1,2,2,10052,517,
1285,723271,380077.7839,Tata 1mg Digital Thermometer,Tata 1mg Healthcare Solutions Private Limited,1,3,3,10052,517,
21,503411,1735788.537,Tata 1mg Salmon Omega 3 Fish Oil Capsule,Tata 1mg Healthcare Solutions Private Limited,1,1,1,9710,4081,
21,536094,950151.1695,"Tata 1mg Calcium + Vitamin D3, Zinc, Magnesium and Alfalfa Tablets for Joint Health & Immunity",Tata 1mg Healthcare Solutions Private Limited,1,2,2,9710,4081,
21,555713,555709.2599,"Tata 1mg Senior 50+ Multivitamin & Multimineral Immunity Booster Zinc, Vitamin C, Calcium, and Vitamin D Veg Tablet",Tata 1mg Healthcare Solutions Private Limited,1,4,3,9710,4081,
21,535187,483102.6901,"Tata 1mg Glucosamine HCL 1500 mg Tablets for Joint Health with Boswellia Serrata, Collagen Peptide, L-Arginine, and Curcuma Longa",Tata 1mg Healthcare Solutions Private Limited,1,5,4,9710,4081,
39,547345,396720.5085,"Tata 1mg Milk Thistle Capsules for Liver Detox, 70% Silymarin with Dandelion & Ginger",Tata 1mg Healthcare Solutions Private Limited,1,2,1,9624,8481,
830,627803,47531.05085,"1mg Active Nutrition Mix with Whey Protein, Vitamin D, Choline and Fiber Vanilla",Tata 1mg Healthcare Solutions Private Limited,1,25,4,9522,8977,
523,551156,602624.4237,Tata 1mg Biotin + Tablet,Tata 1mg Healthcare Solutions Private Limited,1,1,1,9142,9474,
523,503408,411422.2655,"Tata 1mg Hair, Skin & Nails Supreme Collagen, Biotin, Zinc, Iron and Vitamin B Capsule",Tata 1mg Healthcare Solutions Private Limited,1,2,2,9142,9474,
167,723271,380077.7839,Tata 1mg Digital Thermometer,Tata 1mg Healthcare Solutions Private Limited,1,1,1,9024,9449,
121,536094,950151.1695,"Tata 1mg Calcium + Vitamin D3, Zinc, Magnesium and Alfalfa Tablets for Joint Health & Immunity",Tata 1mg Healthcare Solutions Private Limited,1,3,1,8246,8432,
121,735438,,Vitamin D,,1,,3,8246,8432,
888,723019,551345.6667,Tata 1mg Blood Pressure Monitor Fully Automatic,Tata 1mg Healthcare Solutions Private Limited,1,2,1,8139,6968,
888,744188,165894.1582,Tata 1mg Probiotics 30 Billion CFUs+ Capsule with Prebiotic Fibre,Tata 1mg Healthcare Solutions Private Limited,1,4,2,8139,6968,
888,723012,95021.32768,Tata 1mg Biotin + Tablet,Tata 1mg Healthcare Solutions Private Limited,1,5,3,8139,6968,
87,465556,253581.3571,1mg Shilajit Pure Natural Extract 500mg Capsule,Tata 1mg Healthcare Solutions Private Limited,1,2,4,7981,7584,
181,465556,253581.3571,1mg Shilajit Pure Natural Extract 500mg Capsule,Tata 1mg Healthcare Solutions Private Limited,1,9,2,7436,17638,
181,503415,131727.0476,1mg Gokshura Pure Natural Extract 500mg Capsule,Tata 1mg Healthcare Solutions Private Limited,1,20,4,7436,17638,
50,538067,345298.0395,Tata 1mg Apple Cider Vinegar Probiotic Plus - Raw Unfiltered Unpasteurized with The Mother,Tata 1mg Healthcare Solutions Private Limited,1,1,1,7339,14914,
50,503414,37351.19048,1mg Triphala Pure Natural Extract 500mg Capsule,Tata 1mg Healthcare Solutions Private Limited,1,5,2,7339,14914,
186,708642,339468.9167,"Tata 1mg Vaporizer-Steam Inhaler, 3 in 1 with Double Wall Safety",Tata 1mg Healthcare Solutions Private Limited,1,1,1,7161,7689,
186,723030,158427.7619,Tata 1mg Compressor Nebulizer,Tata 1mg Healthcare Solutions Private Limited,1,2,2,7161,7689,
76,465533,193481.9524,1mg Ashwagandha Pure Natural Extract 500mg Capsule,Tata 1mg Healthcare Solutions Private Limited,1,2,4,6996,7361,
34,503411,1735788.537,Tata 1mg Salmon Omega 3 Fish Oil Capsule,Tata 1mg Healthcare Solutions Private Limited,1,3,1,6832,8658,
34,536094,950151.1695,"Tata 1mg Calcium + Vitamin D3, Zinc, Magnesium and Alfalfa Tablets for Joint Health & Immunity",Tata 1mg Healthcare Solutions Private Limited,1,6,2,6832,8658,
